customer_number,app_install_time,gender,marital_status,date_of_birth,referral_as_source_of_app_install
42,8/4/18 9:51,MALE,NA,1998-03-28,Installed_through_referral
43,6/3/18 9:38,FEMALE,NA,1997-12-05,Installed_through_referral
44,6/13/18 13:58,MALE,NA,1996-08-19,Installed_through_referral
45,6/30/18 1:42,MALE,NA,1998-07-09,Not_through_referral
46,7/29/18 18:09,MALE,NA,2001-10-27,Installed_through_referral
47,8/10/18 10:56,MALE,NA,1988-12-05,Not_through_referral
48,8/12/18 16:27,FEMALE,NA,1998-04-14,Installed_through_referral
49,6/1/18 15:53,MALE,NA,1996-05-15,Installed_through_referral
50,6/6/18 15:06,MALE,NA,1996-08-05,Not_through_referral
51,6/19/18 21:08,FEMALE,NA,1995-01-05,Not_through_referral
52,7/3/18 14:52,FEMALE,NA,2018-07-03,Not_through_referral
53,7/1/18 18:08,MALE,NA,1998-06-23,Not_through_referral
54,7/3/18 22:18,MALE,NA,1980-01-25,Not_through_referral
55,7/25/18 15:39,MALE,NA,1989-02-28,Not_through_referral
56,8/6/18 11:19,MALE,NA,1996-10-29,Installed_through_referral
57,8/7/18 10:26,NA,NA,1900-01-00,Not_through_referral
58,8/12/18 12:23,MALE,NA,1996-11-27,Not_through_referral
59,8/7/18 19:18,FEMALE,NA,1991-10-11,Installed_through_referral
60,6/6/18 15:01,FEMALE,NA,2018-06-06,Not_through_referral
61,6/6/18 18:22,MALE,NA,1993-06-17,Installed_through_referral
62,6/16/18 13:26,MALE,NA,1995-04-27,Not_through_referral
63,6/18/18 22:59,MALE,NA,1991-02-28,Not_through_referral
64,6/29/18 16:49,MALE,NA,1992-02-27,Not_through_referral
65,7/14/18 23:14,FEMALE,NA,2001-08-30,Installed_through_referral
66,7/23/18 13:59,MALE,NA,1991-10-01,Installed_through_referral
67,6/1/18 15:41,MALE,NA,1999-09-24,Not_through_referral
68,6/9/18 22:26,MALE,NA,1983-10-20,Not_through_referral
69,6/5/18 19:25,MALE,NA,2018-06-05,Not_through_referral
70,6/8/18 13:09,MALE,NA,1992-08-13,Not_through_referral
71,6/25/18 16:32,MALE,NA,1998-05-04,Not_through_referral
72,7/10/18 20:51,FEMALE,NA,1997-11-22,Not_through_referral
73,7/4/18 16:12,MALE,NA,1978-07-04,Not_through_referral
74,7/15/18 20:07,MALE,NA,1981-11-04,Installed_through_referral
75,7/20/18 12:46,MALE,NA,2018-06-02,Not_through_referral
76,7/29/18 17:17,MALE,NA,2001-01-27,Not_through_referral
77,8/19/18 21:15,MALE,NA,1991-03-29,Not_through_referral
78,9/13/18 1:39,FEMALE,NA,1991-11-16,Not_through_referral
79,8/21/18 16:05,MALE,NA,2018-08-05,Not_through_referral
80,8/19/18 8:07,MALE,NA,1976-01-28,Not_through_referral
81,8/23/18 0:48,MALE,NA,1998-10-14,Not_through_referral
82,8/19/18 13:11,FEMALE,NA,1999-01-01,Not_through_referral
83,8/29/18 17:06,MALE,NA,1994-01-16,Not_through_referral
84,9/16/18 18:37,FEMALE,NA,1991-12-06,Installed_through_referral
85,9/17/18 13:03,MALE,NA,2018-09-17,Installed_through_referral
86,9/15/18 12:34,FEMALE,NA,1999-09-07,Installed_through_referral
87,9/28/18 14:36,MALE,NA,2018-09-01,Not_through_referral
88,8/16/18 19:03,FEMALE,NA,1994-11-20,Not_through_referral
89,9/17/18 21:29,MALE,NA,1998-06-04,Not_through_referral
90,8/20/18 23:45,MALE,NA,1989-11-03,Not_through_referral
91,8/17/18 14:05,MALE,NA,1999-01-06,Not_through_referral
92,9/11/18 17:09,FEMALE,NA,1999-06-07,Installed_through_referral
93,9/23/18 11:35,MALE,NA,2017-02-04,Not_through_referral
94,8/20/18 13:30,MALE,NA,2018-08-15,Not_through_referral
95,9/1/18 15:33,MALE,NA,1998-02-02,Not_through_referral
96,9/17/18 10:56,MALE,NA,1990-09-17,Not_through_referral
97,9/4/18 21:59,MALE,NA,1995-08-25,Installed_through_referral
98,9/3/18 18:06,MALE,NA,1999-12-11,Not_through_referral
99,8/16/18 16:21,FEMALE,NA,1997-11-08,Installed_through_referral
100,8/21/18 13:48,MALE,NA,2018-08-21,Installed_through_referral
101,8/15/18 21:52,FEMALE,NA,2016-08-28,Not_through_referral
102,8/19/18 16:44,MALE,NA,1997-11-23,Not_through_referral
103,8/27/18 15:28,NA,NA,1900-01-00,Not_through_referral
104,9/17/18 13:06,FEMALE,NA,1993-06-08,Not_through_referral
105,8/26/18 15:43,MALE,NA,1987-11-01,Not_through_referral
106,9/9/18 18:59,MALE,NA,2001-01-08,Installed_through_referral
107,9/22/18 16:37,MALE,NA,1999-05-21,Not_through_referral
108,8/15/18 23:33,MALE,NA,1993-01-03,Not_through_referral
109,8/31/18 18:19,FEMALE,NA,1980-08-31,Not_through_referral
110,6/3/18 23:30,MALE,NA,1989-10-09,Not_through_referral
111,6/7/18 17:16,FEMALE,NA,1997-11-30,Not_through_referral
112,6/4/18 22:31,MALE,NA,2018-06-04,Installed_through_referral
113,6/19/18 12:20,FEMALE,NA,1981-04-17,Not_through_referral
114,6/24/18 18:24,MALE,NA,2018-06-01,Not_through_referral
115,6/27/18 19:51,FEMALE,NA,2018-05-14,Not_through_referral
116,6/28/18 17:40,FEMALE,NA,1987-10-28,Not_through_referral
117,6/24/18 12:45,MALE,NA,1988-07-22,Not_through_referral
118,6/28/18 4:01,MALE,NA,1997-10-06,Not_through_referral
119,7/9/18 10:41,FEMALE,NA,2018-04-04,Not_through_referral
120,7/4/18 3:07,MALE,NA,1995-08-26,Not_through_referral
121,7/18/18 20:52,MALE,NA,1994-07-14,Not_through_referral
122,8/10/18 10:31,MALE,NA,1974-08-10,Installed_through_referral
123,8/4/18 16:32,MALE,NA,1994-08-19,Not_through_referral
124,6/8/18 13:28,MALE,NA,1991-06-08,Not_through_referral
125,6/13/18 17:45,MALE,NA,2018-06-13,Not_through_referral
126,6/13/18 13:32,FEMALE,NA,2018-06-13,Not_through_referral
127,6/27/18 21:08,MALE,NA,1992-07-10,Installed_through_referral
128,7/11/18 21:27,MALE,NA,2002-09-20,Not_through_referral
129,7/4/18 15:45,MALE,NA,2018-07-04,Installed_through_referral
130,7/9/18 20:20,FEMALE,NA,1996-07-09,Installed_through_referral
131,7/12/18 12:25,MALE,NA,1992-07-12,Installed_through_referral
132,7/21/18 18:23,FEMALE,NA,1988-11-28,Not_through_referral
133,7/22/18 12:36,FEMALE,NA,1985-07-06,Not_through_referral
134,7/23/18 18:20,MALE,NA,1999-06-30,Not_through_referral
135,7/27/18 6:54,MALE,NA,1999-11-17,Not_through_referral
136,7/27/18 18:02,MALE,NA,1990-10-14,Not_through_referral
137,8/4/18 12:38,FEMALE,NA,1992-04-14,Not_through_referral
138,8/4/18 13:32,MALE,NA,1996-09-05,Installed_through_referral
139,6/1/18 21:11,FEMALE,NA,2001-07-01,Not_through_referral
140,6/15/18 17:12,FEMALE,NA,1996-07-16,Not_through_referral
141,6/21/18 15:30,MALE,NA,1992-12-08,Not_through_referral
142,6/25/18 19:43,MALE,NA,1985-04-22,Not_through_referral
143,6/29/18 16:12,FEMALE,NA,1991-07-01,Installed_through_referral
144,7/12/18 8:19,MALE,NA,2000-11-24,Installed_through_referral
145,7/20/18 16:00,MALE,NA,1997-10-23,Installed_through_referral
146,7/22/18 18:10,FEMALE,NA,2001-01-04,Not_through_referral
147,7/21/18 8:35,MALE,NA,1993-02-26,Not_through_referral
148,7/26/18 20:25,MALE,NA,1995-07-26,Installed_through_referral
149,6/3/18 17:35,MALE,NA,1995-02-01,Not_through_referral
150,6/8/18 12:55,MALE,NA,1993-11-05,Not_through_referral
151,6/8/18 16:27,MALE,NA,1989-05-14,Not_through_referral
152,6/8/18 20:02,MALE,NA,2018-06-08,Installed_through_referral
153,6/10/18 14:02,MALE,NA,2018-06-10,Not_through_referral
154,6/10/18 16:46,MALE,NA,1992-06-06,Not_through_referral
155,6/6/18 21:11,FEMALE,NA,2000-01-24,Not_through_referral
156,6/17/18 16:24,MALE,NA,2018-06-03,Not_through_referral
157,6/25/18 18:28,MALE,NA,1975-10-03,Not_through_referral
158,6/23/18 16:55,MALE,NA,1968-04-26,Not_through_referral
159,6/29/18 17:03,MALE,NA,1983-06-04,Not_through_referral
160,6/29/18 14:45,MALE,NA,1993-06-29,Installed_through_referral
161,6/28/18 15:40,MALE,NA,2018-06-28,Installed_through_referral
162,7/10/18 18:26,FEMALE,NA,1981-07-10,Installed_through_referral
163,7/4/18 10:43,FEMALE,NA,1995-02-23,Not_through_referral
164,7/13/18 20:21,MALE,NA,1993-05-28,Not_through_referral
165,8/2/18 19:57,MALE,NA,1985-02-18,Not_through_referral
166,8/3/18 0:45,MALE,NA,1994-01-04,Not_through_referral
167,7/25/18 23:50,MALE,NA,1999-02-24,Installed_through_referral
168,8/11/18 20:41,MALE,NA,1992-09-16,Installed_through_referral
169,8/12/18 16:42,FEMALE,NA,1991-04-02,Installed_through_referral
170,6/2/18 20:40,MALE,NA,2018-03-11,Not_through_referral
171,6/5/18 12:47,MALE,NA,1990-11-29,Not_through_referral
172,6/22/18 2:36,MALE,NA,1999-06-22,Not_through_referral
173,6/21/18 23:52,FEMALE,NA,1999-06-10,Not_through_referral
174,6/16/18 15:00,MALE,NA,2018-06-12,Not_through_referral
175,6/26/18 16:03,FEMALE,NA,1997-06-30,Not_through_referral
176,6/30/18 21:13,MALE,NA,1992-03-22,Not_through_referral
177,7/5/18 20:22,MALE,NA,1994-03-21,Not_through_referral
178,7/2/18 23:59,MALE,NA,1998-03-23,Not_through_referral
179,7/19/18 15:08,MALE,NA,1993-10-27,Not_through_referral
180,7/20/18 15:06,MALE,NA,1991-08-15,Installed_through_referral
181,7/18/18 13:16,FEMALE,NA,2018-05-04,Not_through_referral
182,7/29/18 18:25,MALE,NA,1997-06-22,Not_through_referral
183,8/12/18 22:54,MALE,NA,1980-09-15,Not_through_referral
184,8/11/18 21:13,FEMALE,NA,1992-10-28,Not_through_referral
185,8/6/18 10:53,MALE,NA,2000-01-12,Not_through_referral
186,8/8/18 20:01,MALE,NA,1960-08-08,Not_through_referral
187,6/7/18 19:46,FEMALE,NA,1995-06-12,Not_through_referral
188,6/8/18 23:42,MALE,NA,1992-11-03,Not_through_referral
189,6/13/18 0:53,MALE,NA,1995-05-18,Not_through_referral
190,6/20/18 16:37,MALE,NA,2018-06-15,Not_through_referral
191,6/16/18 18:47,MALE,NA,1992-02-01,Not_through_referral
192,6/15/18 18:46,FEMALE,NA,1992-06-20,Installed_through_referral
193,6/28/18 14:23,NA,NA,1900-01-00,Not_through_referral
194,7/7/18 2:03,MALE,NA,1994-06-28,Not_through_referral
195,7/10/18 1:07,MALE,NA,1993-03-25,Not_through_referral
196,7/10/18 18:55,NA,NA,1900-01-00,Not_through_referral
197,7/5/18 16:39,FEMALE,NA,2018-05-12,Not_through_referral
198,7/14/18 0:10,MALE,NA,1998-02-14,Not_through_referral
199,7/14/18 22:38,MALE,NA,1991-09-19,Installed_through_referral
200,7/20/18 12:39,MALE,NA,2018-07-20,Installed_through_referral
201,7/26/18 4:49,MALE,NA,2018-07-26,Not_through_referral
202,8/5/18 18:07,MALE,NA,1999-10-26,Not_through_referral
203,8/9/18 13:30,MALE,NA,1994-02-06,Not_through_referral
204,8/14/18 13:20,MALE,NA,2018-08-14,Installed_through_referral
205,6/10/18 14:04,MALE,NA,2018-05-28,Not_through_referral
206,6/5/18 10:58,MALE,NA,2013-12-04,Not_through_referral
207,6/4/18 16:39,MALE,NA,2018-06-04,Installed_through_referral
208,6/12/18 21:58,MALE,NA,2018-06-12,Installed_through_referral
209,6/16/18 18:44,MALE,NA,1986-02-28,Not_through_referral
210,6/23/18 16:56,MALE,NA,2018-06-23,Installed_through_referral
211,6/24/18 14:06,FEMALE,NA,1987-05-10,Not_through_referral
212,6/23/18 18:02,MALE,NA,1999-06-09,Not_through_referral
213,6/26/18 3:03,FEMALE,NA,1995-07-03,Installed_through_referral
214,6/28/18 13:13,MALE,NA,2016-06-28,Not_through_referral
215,6/30/18 12:34,MALE,NA,1999-04-19,Installed_through_referral
216,7/2/18 18:32,MALE,NA,1996-06-01,Installed_through_referral
217,7/10/18 22:18,MALE,NA,1985-09-15,Not_through_referral
218,7/7/18 23:55,MALE,NA,1994-07-07,Installed_through_referral
219,7/9/18 22:34,MALE,NA,1996-10-21,Not_through_referral
220,7/6/18 16:17,MALE,NA,1994-01-27,Installed_through_referral
221,7/9/18 18:20,MALE,NA,1986-10-09,Installed_through_referral
222,7/15/18 15:21,MALE,NA,2000-01-13,Not_through_referral
223,7/30/18 2:00,MALE,NA,1990-02-12,Installed_through_referral
224,8/13/18 11:20,FEMALE,NA,1992-10-19,Not_through_referral
225,8/6/18 0:55,MALE,NA,1990-08-06,Installed_through_referral
226,8/9/18 0:46,MALE,NA,1994-08-26,Not_through_referral
227,6/2/18 16:15,MALE,NA,1998-05-22,Not_through_referral
228,6/10/18 15:45,FEMALE,NA,2018-06-10,Not_through_referral
229,6/17/18 23:58,MALE,NA,1992-06-09,Not_through_referral
230,6/24/18 20:28,MALE,NA,1993-12-04,Not_through_referral
231,6/26/18 20:06,FEMALE,NA,1996-02-17,Not_through_referral
232,6/29/18 15:54,FEMALE,NA,1995-12-15,Not_through_referral
233,7/6/18 18:35,MALE,NA,1988-07-29,Not_through_referral
234,7/6/18 14:14,MALE,NA,1999-01-20,Installed_through_referral
235,7/13/18 20:49,MALE,NA,1990-03-01,Not_through_referral
236,7/18/18 13:01,MALE,NA,1985-08-23,Not_through_referral
237,7/24/18 16:06,MALE,NA,1992-07-24,Not_through_referral
238,8/10/18 13:28,FEMALE,NA,1996-12-28,Installed_through_referral
239,8/5/18 15:15,MALE,NA,1995-06-10,Not_through_referral
240,6/2/18 19:38,MALE,NA,2018-06-02,Installed_through_referral
241,6/5/18 13:08,MALE,NA,1980-07-12,Not_through_referral
242,6/13/18 16:04,FEMALE,NA,1983-02-24,Not_through_referral
243,6/17/18 1:27,MALE,NA,2018-03-01,Not_through_referral
244,6/19/18 12:31,FEMALE,NA,1997-09-30,Installed_through_referral
245,6/26/18 16:54,FEMALE,NA,1999-07-24,Not_through_referral
246,6/27/18 10:48,MALE,NA,1999-03-15,Not_through_referral
247,6/28/18 8:46,MALE,NA,1994-06-28,Installed_through_referral
248,7/24/18 19:51,MALE,NA,1993-03-13,Installed_through_referral
249,8/6/18 20:45,MALE,NA,1989-04-18,Not_through_referral
250,6/6/18 14:44,MALE,NA,1985-05-31,Not_through_referral
251,6/12/18 19:21,MALE,NA,2018-06-12,Installed_through_referral
252,6/20/18 20:51,MALE,NA,1995-03-12,Not_through_referral
253,6/21/18 0:33,MALE,NA,1998-10-19,Not_through_referral
254,6/16/18 18:55,FEMALE,NA,1996-06-08,Not_through_referral
255,6/20/18 17:01,MALE,NA,2018-06-20,Installed_through_referral
256,6/20/18 21:41,FEMALE,NA,1990-05-31,Not_through_referral
257,6/15/18 13:22,MALE,NA,1991-04-16,Not_through_referral
258,6/18/18 21:00,FEMALE,NA,1981-08-30,Not_through_referral
259,7/2/18 12:28,FEMALE,NA,1980-08-17,Not_through_referral
260,7/9/18 8:45,MALE,NA,1976-12-02,Not_through_referral
261,7/2/18 10:18,MALE,NA,1998-12-25,Not_through_referral
262,7/1/18 20:13,MALE,NA,1997-08-08,Not_through_referral
263,7/14/18 16:20,MALE,NA,1984-08-10,Installed_through_referral
264,7/15/18 15:08,MALE,NA,1988-12-25,Not_through_referral
265,7/19/18 22:46,MALE,NA,2018-07-16,Installed_through_referral
266,7/30/18 22:37,FEMALE,NA,1990-03-29,Installed_through_referral
267,8/9/18 13:40,MALE,NA,1996-09-09,Not_through_referral
268,8/10/18 22:48,MALE,NA,1991-08-05,Installed_through_referral
269,8/5/18 14:03,MALE,NA,1973-07-21,Not_through_referral
270,8/13/18 16:49,MALE,NA,1998-05-14,Not_through_referral
271,8/22/18 16:06,MALE,NA,1997-03-24,Not_through_referral
272,8/31/18 16:09,FEMALE,NA,1995-02-11,Installed_through_referral
273,9/1/18 20:15,MALE,NA,2000-12-06,Not_through_referral
274,9/5/18 9:23,MALE,NA,1999-02-01,Not_through_referral
275,9/5/18 20:15,FEMALE,NA,1998-07-11,Not_through_referral
276,9/17/18 15:03,MALE,NA,1998-03-03,Not_through_referral
277,8/15/18 23:00,MALE,NA,1996-09-26,Not_through_referral
278,8/24/18 17:11,FEMALE,NA,2018-08-24,Not_through_referral
279,8/26/18 2:33,MALE,NA,1997-05-17,Not_through_referral
280,8/25/18 16:39,NA,NA,1900-01-00,Not_through_referral
281,9/13/18 11:17,MALE,NA,1991-11-09,Not_through_referral
282,9/13/18 19:15,MALE,NA,2018-09-13,Installed_through_referral
283,9/23/18 7:14,MALE,NA,2000-11-30,Not_through_referral
284,8/20/18 10:07,MALE,NA,1994-10-01,Installed_through_referral
285,8/31/18 18:11,MALE,NA,1990-09-20,Installed_through_referral
286,8/24/18 18:51,MALE,NA,1993-06-11,Installed_through_referral
287,8/25/18 16:59,FEMALE,NA,1966-06-08,Installed_through_referral
288,8/22/18 21:47,MALE,NA,1995-09-26,Installed_through_referral
289,8/25/18 13:52,MALE,NA,2018-08-15,Not_through_referral
290,8/26/18 18:27,MALE,NA,1996-12-15,Installed_through_referral
291,9/20/18 18:54,MALE,NA,1980-04-08,Not_through_referral
292,9/14/18 17:22,NA,NA,1900-01-00,Not_through_referral
293,9/10/18 18:45,MALE,NA,2018-09-10,Installed_through_referral
294,9/29/18 20:45,FEMALE,NA,2003-06-25,Installed_through_referral
295,8/17/18 7:45,FEMALE,NA,1980-01-17,Not_through_referral
296,9/2/18 13:06,MALE,NA,1998-06-06,Not_through_referral
297,9/2/18 12:37,MALE,NA,1998-12-14,Not_through_referral
298,9/2/18 21:23,MALE,NA,1994-10-08,Installed_through_referral
299,9/2/18 18:19,MALE,NA,1994-06-05,Not_through_referral
300,8/25/18 19:09,MALE,NA,2001-06-23,Installed_through_referral
301,9/2/18 19:47,MALE,NA,1997-10-18,Installed_through_referral
302,9/2/18 19:21,MALE,NA,2018-09-02,Not_through_referral
303,9/17/18 9:14,FEMALE,NA,1998-09-17,Installed_through_referral
304,9/17/18 16:50,MALE,NA,1996-06-18,Not_through_referral
305,9/16/18 13:07,MALE,NA,1999-09-16,Not_through_referral
306,8/17/18 18:38,MALE,NA,1981-07-05,Not_through_referral
307,9/14/18 17:53,MALE,NA,2018-09-05,Not_through_referral
308,8/16/18 16:12,MALE,NA,2018-08-16,Installed_through_referral
309,8/15/18 14:29,MALE,NA,2000-06-29,Installed_through_referral
310,8/24/18 19:33,MALE,NA,2000-10-01,Installed_through_referral
311,9/9/18 16:42,MALE,NA,2018-09-09,Not_through_referral
312,9/21/18 10:24,MALE,NA,1974-05-08,Not_through_referral
313,9/24/18 16:52,MALE,NA,1996-03-21,Installed_through_referral
314,8/15/18 17:31,FEMALE,NA,1996-07-18,Not_through_referral
315,8/17/18 20:45,MALE,NA,1997-04-29,Not_through_referral
316,8/24/18 12:06,MALE,NA,1996-04-04,Not_through_referral
317,8/25/18 15:02,FEMALE,NA,1999-08-11,Not_through_referral
318,9/5/18 19:37,MALE,NA,1993-03-10,Installed_through_referral
319,9/6/18 13:52,MALE,NA,1996-05-21,Not_through_referral
320,8/28/18 22:58,MALE,NA,1987-09-06,Not_through_referral
321,6/3/18 22:32,MALE,NA,2018-03-01,Not_through_referral
322,6/16/18 11:27,MALE,NA,1982-03-11,Not_through_referral
323,6/14/18 16:29,MALE,NA,2018-06-14,Not_through_referral
324,6/28/18 13:59,MALE,NA,2000-10-10,Not_through_referral
325,6/24/18 21:40,MALE,NA,1996-11-24,Not_through_referral
326,7/7/18 21:51,MALE,NA,1991-07-07,Not_through_referral
327,7/12/18 21:59,NA,NA,1900-01-00,Not_through_referral
328,7/15/18 14:20,FEMALE,NA,1997-01-21,Installed_through_referral
329,7/30/18 17:01,MALE,NA,1991-05-24,Installed_through_referral
330,7/31/18 15:29,MALE,NA,2000-09-17,Not_through_referral
331,6/3/18 10:04,FEMALE,NA,1996-08-13,Not_through_referral
332,6/8/18 12:04,MALE,NA,2018-06-08,Not_through_referral
333,6/9/18 17:21,FEMALE,NA,1977-08-03,Installed_through_referral
334,6/6/18 13:05,MALE,NA,1999-06-07,Not_through_referral
335,6/13/18 13:31,MALE,NA,1994-09-20,Not_through_referral
336,6/13/18 21:48,MALE,NA,1994-06-29,Not_through_referral
337,6/21/18 2:29,MALE,NA,1991-02-22,Not_through_referral
338,6/14/18 13:05,MALE,NA,1981-02-01,Not_through_referral
339,7/1/18 11:28,MALE,NA,2018-07-01,Not_through_referral
340,6/23/18 11:36,MALE,NA,2004-08-21,Not_through_referral
341,6/29/18 17:47,MALE,NA,1994-04-04,Not_through_referral
342,7/7/18 16:27,FEMALE,NA,2018-07-05,Not_through_referral
343,7/8/18 10:54,MALE,NA,2018-07-01,Not_through_referral
344,7/1/18 18:33,MALE,NA,1996-07-29,Not_through_referral
345,7/14/18 13:33,MALE,NA,1999-09-22,Not_through_referral
346,7/21/18 18:38,MALE,NA,1990-05-25,Not_through_referral
347,7/24/18 13:41,FEMALE,NA,1993-03-15,Installed_through_referral
348,8/12/18 19:57,FEMALE,NA,1995-09-13,Installed_through_referral
349,8/8/18 14:03,MALE,NA,1985-04-07,Not_through_referral
350,8/5/18 20:12,MALE,NA,1989-04-07,Not_through_referral
351,8/7/18 9:02,MALE,NA,2001-06-24,Installed_through_referral
352,6/1/18 15:13,MALE,NA,1995-05-01,Not_through_referral
353,6/6/18 0:40,MALE,NA,2009-03-18,Installed_through_referral
354,6/11/18 17:58,FEMALE,NA,2018-06-13,Not_through_referral
355,6/17/18 20:11,FEMALE,NA,2018-06-17,Not_through_referral
356,6/23/18 16:35,FEMALE,NA,1994-04-01,Installed_through_referral
357,7/15/18 20:28,MALE,NA,2018-07-15,Not_through_referral
358,7/26/18 17:45,MALE,NA,1981-08-16,Installed_through_referral
359,8/1/18 17:17,FEMALE,NA,1994-02-01,Not_through_referral
360,8/3/18 14:03,MALE,NA,2018-08-03,Not_through_referral
361,7/30/18 13:19,MALE,NA,2018-07-16,Not_through_referral
362,7/25/18 20:46,MALE,NA,1965-03-21,Not_through_referral
363,7/29/18 14:33,FEMALE,NA,1987-02-03,Installed_through_referral
364,7/25/18 15:13,MALE,NA,2018-07-25,Not_through_referral
365,8/4/18 2:51,MALE,NA,1990-08-04,Installed_through_referral
366,8/8/18 11:01,MALE,NA,1999-12-07,Installed_through_referral
367,6/10/18 13:51,MALE,NA,1988-11-17,Not_through_referral
368,6/6/18 17:57,MALE,NA,1986-02-02,Not_through_referral
369,6/7/18 16:19,MALE,NA,2018-06-04,Not_through_referral
370,6/8/18 13:32,MALE,NA,1988-06-08,Installed_through_referral
371,6/5/18 12:08,MALE,NA,1992-08-12,Not_through_referral
372,6/11/18 2:30,MALE,NA,2018-06-11,Installed_through_referral
373,6/6/18 23:54,MALE,NA,1997-07-30,Not_through_referral
374,6/8/18 12:54,MALE,NA,1988-10-27,Not_through_referral
375,6/18/18 3:20,MALE,NA,1996-11-05,Not_through_referral
376,6/14/18 17:35,FEMALE,NA,1994-06-18,Not_through_referral
377,6/15/18 22:00,MALE,NA,2000-12-09,Not_through_referral
378,6/15/18 22:56,MALE,NA,1998-06-19,Installed_through_referral
379,6/17/18 11:13,FEMALE,NA,1971-08-17,Not_through_referral
380,6/17/18 13:51,MALE,NA,1999-06-17,Not_through_referral
381,6/13/18 18:34,MALE,NA,1992-07-01,Not_through_referral
382,6/25/18 14:19,MALE,NA,1989-11-25,Not_through_referral
383,6/28/18 11:56,FEMALE,NA,2018-06-28,Not_through_referral
384,6/24/18 18:02,FEMALE,NA,1994-02-01,Not_through_referral
385,7/3/18 14:24,MALE,NA,1993-10-19,Not_through_referral
386,7/7/18 22:32,MALE,NA,1989-03-05,Not_through_referral
387,7/12/18 12:55,FEMALE,NA,2001-10-07,Not_through_referral
388,7/15/18 15:10,MALE,NA,1993-07-26,Not_through_referral
389,7/14/18 18:22,MALE,NA,1996-07-20,Not_through_referral
390,7/18/18 18:07,MALE,NA,1996-05-31,Installed_through_referral
391,7/21/18 13:04,MALE,NA,2000-08-08,Not_through_referral
392,7/21/18 14:39,MALE,NA,1984-07-17,Not_through_referral
393,7/22/18 19:11,MALE,NA,2018-07-22,Not_through_referral
394,7/28/18 20:58,MALE,NA,2018-03-08,Installed_through_referral
395,7/31/18 20:25,MALE,NA,1997-10-05,Installed_through_referral
396,8/4/18 12:57,MALE,NA,1965-08-04,Not_through_referral
397,8/7/18 16:20,FEMALE,NA,1993-09-03,Not_through_referral
398,8/10/18 23:09,MALE,NA,1992-08-03,Installed_through_referral
399,6/2/18 13:49,MALE,NA,1981-09-19,Not_through_referral
400,6/3/18 10:48,MALE,NA,2018-06-03,Not_through_referral
